#NumericalIntegrator addapting quadrature over [-16, 16]
#Iteration integral estimated_error tol
0 3.5924e+13 1.0992e+13 3.5924e+03
1 4.8374e+13 2.4850e+12 4.8374e+03
2 4.9032e+13 5.9109e+10 4.9032e+03
3 4.9023e+13 1.6080e+12 4.9023e+03
4 4.9024e+13 4.5485e+09 4.9024e+03
5 4.9023e+13 5.2207e+06 4.9023e+03
6 4.9023e+13 2.3389e+06 4.9023e+03
7 4.9023e+13 1.5926e+05 4.9023e+03
8 4.9023e+13 3.0626e+04 4.9023e+03
9 4.9023e+13 1.7251e+04 4.9023e+03
10 4.9023e+13 7.9914e+03 4.9023e+03
11 4.9023e+13 1.8541e+02 4.9023e+03
