#Estimations of the moments of the normal distribution with mu = 0.5 and sigma = 1
#order has_converged n_iterations estimated analytical absolute_error relative_error
0 true 3 0.99999999999999966964 1 3.3035640195633320104e-16 3.3035640195633320104e-16
1 true 5 0.50000000000000001025 0.5 1.0245710529988016901e-17 2.0491421059976033803e-17
2 true 5 1.2500000000000000186 1.25 1.8648277366750676265e-17 1.4918621893400541013e-17
3 true 5 1.6249999999999999924 1.625 7.589415207398531038e-18 4.6704093583990960235e-18
4 true 5 4.5625000000000000304 4.5625 3.0357660829594124152e-17 6.6537338804589861156e-18
5 true 3 8.781250200382635468 8.78125 2.0038263546812845606e-07 2.2819374857580464747e-08
6 true 5 27.203125000000001634 27.203125 1.6341095143701522829e-15 6.0070654175582852447e-17
7 true 5 66.289062500000006765 66.2890625 6.7654215563095476682e-15 1.02059394131717395584e-16
8 true 5 223.56640625000002724 223.56640625 2.724209746673977861e-14 1.2185237453017286048e-16
9 true 5 642.0957031250000985 642.095703125 9.8476782284251385136e-14 1.5336776403420412647e-16
10 true 5 2333.1455078125003755 2333.1455078125 3.7547742692822794197e-13 1.6093185173018478716e-16
11 true 6 7587.5297851562508855 7587.52978515625 8.8551388444102485664e-13 1.1670647885605492477e-16
12 true 5 29458.365478515630317 29458.365478515625 5.3166360203249496408e-12 1.8047966796400983304e-16
13 true 5 105779.54016113283276 105779.5401611328125 2.0257573396520456299e-11 1.9150748212425878473e-16
14 true 5 435848.52130126961623 435848.52130126953125 8.498091119690798223e-11 1.9497808766951632068e-16
15 true 5 1698837.8229064944614 1698837.8229064941406 3.2082425605040043592e-10 1.8884925431052105068e-16
16 true 5 7387146.7309722913033 7387146.730972290039 1.2641976354643702507e-09 1.7113476711704325674e-16
17 true 5 30874978.531990056208 30874978.53199005127 4.938556230627000332e-09 1.5995334945771976755e-16
18 true 5 141018983.69252397993 141018983.6925239563 2.3632310330867767334e-08 1.6758247515380882185e-16
19 true 5 626259105.4220830094 626259105.422082901 1.08382664620876312256e-07 1.730636148560732217e-16
20 true 5 2992490242.8689971296 2992490242.8689966202 5.0943344831466674805e-07 1.7023729635497709097e-16
21 true 5 14021427229.876158611 14021427229.876155853 2.7576461434364318848e-06 1.9667371218534568344e-16
22 true 5 69853008715.18701767 69853008715.18701172 5.953013896942138672e-06 8.522201128393015071e-17
23 true 5 343397903414.8689867 343397903414.86895752 2.9176473617553710938e-05 8.4964041211121687406e-17
24 true 5 1778318152156.7357831 1778318152156.7358398 5.6743621826171875e-05 3.1908588323947252612e-17
25 true 5 9130708758035.222274 9130708758035.222656 0.00038242340087890625 4.1883210932816724067e-17
26 true 5 49023308182935.992916 49023308182936.007812 0.014896392822265625 3.0386347585271181226e-16
27 true 5 261910081800383.67027 261910081800383.78125 0.1109771728515625 4.2372241682603255666e-16
28 true 5 1454584361839462.9154 1454584361839464.25 1.3345947265625 9.1750933227054248285e-16
29 true 5 8060774471800057.468 8060774471330478 469579.4677734375 5.825488226268792517e-11
30 true 6 4.621333372904084394e+16 4.6213333729009704e+16 31139.94140625 6.73830232392483393e-13
31 true 6 2.6492990100464046016e+17 2.649299010044192e+17 221260.15625 8.3516490743832361616e-13
32 true 6 1.5650782961028455358e+18 1.5650782961015104e+18 1335135.75 8.530792058938651262e-13
33 true 7 9.260295980192180526e+18 9.260295980192169984e+18 10542 1.13840853710825256465e-15
34 true 7 5.627773176144585967e+19 5.627773176144592896e+19 69288 1.2311796838881660294e-15
35 true 7 3.4298892920725938694e+20 3.4298892920725674394e+20 2643008 7.705811397786890726e-15
36 true 7 2.1412150762542588764e+21 2.1412150762542360166e+21 22859776 1.0676076520061713237e-14
37 true 7 1.3418208989588533635e+22 1.3418208989588360266e+22 173369344 1.292045340287389368e-14
38 true 7 8.593406231620194114e+22 8.593406231620091065e+22 1030488064 1.1991613525824496495e-14
39 true 7 5.528589727624619264e+23 5.528589727624581664e+23 3759996928 6.8010055244513926387e-15
40 true 7 3.627857916705543702e+24 3.6278579167130645483e+24 7520846348288 2.0730818353277975613e-12
