#Estimations of the moments of the normal distribution with mu = 0.5 and sigma = 1
#order has_converged n_iterations estimated analytical absolute_error relative_error
0 true 5 1.0000000000006432896 1 6.432895665806070973e-13 6.432895665806070973e-13
1 true 6 0.5000000000005402525 0.5 5.4025252153866443194e-13 1.0805050430773288639e-12
2 true 7 1.2500000000012802522 1.25 1.2802521629634577849e-12 1.0242017303707662279e-12
3 true 5 1.625000000002974007 1.625 2.9740069998687723718e-12 1.8301581537653983826e-12
4 true 7 4.5625000000039048023 4.5625 3.9048022627830025755e-12 8.5584707129490467406e-13
5 true 7 8.7812500000081268 8.78125 8.1267995805101023166e-12 9.254718383499048902e-13
6 true 7 27.203125000025954136 27.203125 2.5954136409489514392e-11 9.5408657679915503795e-13
7 true 8 66.28906250007468264 66.2890625 7.468264201504482003e-11 1.126620881311224156e-12
8 true 9 223.56640625025018518 223.56640625 2.5018517813002461025e-10 1.1190642741300700684e-12
9 true 9 642.09570312571059564 642.095703125 7.105956378872235746e-10 1.1066818146093221056e-12
10 true 9 2333.145507814957921 2333.1455078125 2.4579209778607946646e-09 1.0534795063704711177e-12
11 true 8 7587.5297851614015756 7587.52978515625 5.1515756105402488174e-09 6.789529341444506002e-13
12 true 8 29458.365478542239726 29458.365478515625 2.6614726422735657252e-08 9.0346921801028399666e-13
13 true 9 105779.540161227249754 105779.5401611328125 9.4437254460899566766e-08 8.927742956439811856e-13
14 true 9 435848.52130164821537 435848.52130126953125 3.786841205055679893e-07 8.6884342150563805395e-13
15 true 9 1698837.822907987913 1698837.8229064941406 1.4937724017727305181e-06 8.7929076079615243905e-13
16 true 9 7387146.730978875391 7387146.730972290039 6.5853519117808900774e-06 8.9146082399721490276e-13
17 true 9 30874978.532019187363 30874978.53199005127 2.913609387178439647e-05 9.436798099016014203e-13
18 true 9 141018983.6926308426 141018983.6925239563 0.00010688630572985857725 7.5795685751722727697e-13
19 true 10 626259105.42273014074 626259105.422082901 0.00064723973628133535385 1.0335015182655301033e-12
20 true 10 2992490242.8722037908 2992490242.8689966202 0.0032071706373244524002 1.0717397140949855806e-12
21 true 10 14021427229.891649945 14021427229.876155853 0.015494091436266899109 1.1050295510041134772e-12
22 true 10 69853008715.26538117 69853008715.18701172 0.0783694535493850708 1.1219195134302993308e-12
23 true 10 343397903415.25899595 343397903414.86895752 0.39003843069076538086 1.135820652403776184e-12
24 true 11 1778318152158.7321814 1778318152156.7358398 1.9963415861129760742 1.1226009157539231353e-12
25 true 11 9130708758045.278915 9130708758035.222656 10.0562591552734375 1.1013667637163117624e-12
26 true 11 49023308182988.478954 49023308182936.007812 52.471141815185546875 1.0703304970644485824e-12
27 true 10 261910081800653.43578 261910081800383.78125 269.6545257568359375 1.029569094489285934e-12
28 true 9 1454584361840908.2188 1454584361839464.25 1443.96875 9.927019620738670872e-13
29 true 9 8060774471355392.277 8060774471330478 24914.27685546875 3.0908043568370053655e-12
30 true 10 4.6213333729056013734e+16 4.6213333729009704e+16 46309.734375 1.0020859920332858824e-12
31 true 10 2.6492990100471166023e+17 2.649299010044192e+17 292460.234375 1.1039155386621368059e-12
32 true 11 1.5650782961029245346e+18 1.5650782961015104e+18 1414134.625 9.035551949844940861e-13
33 true 11 9.260295980200623e+18 9.260295980192169984e+18 8453016 9.128235229285384805e-13
34 true 12 5.6277731761502231784e+19 5.627773176144592896e+19 56302824 1.0004458644257454052e-12
35 true 12 3.429889292075517173e+20 3.4298892920725674394e+20 294973376 8.60008445992020488e-13
36 true 11 2.1412150762561132426e+21 2.1412150762542360166e+21 1877225984 8.767106139024347995e-13
37 true 10 1.3418208989600530091e+22 1.3418208989588360266e+22 12169825280 9.0696346207179936007e-13
38 true 11 8.5934062316280343446e+22 8.593406231620091065e+22 79432794112 9.243458527506938937e-13
39 true 11 5.5285897276303436956e+23 5.528589727624581664e+23 576203161600 1.0422244912131903061e-12
40 true 11 3.627857916716509326e+24 3.6278579167130645483e+24 3444777680896 9.495348935873045172e-13
