#Estimations of the moments of the normal distribution with mu = 0.5 and sigma = 1
#order Hermite_estimated Laguerre_estimate analytical Hermite_absolute_error Laguerre_absolute_error Hermite_relative_error Laguerre_relative_error
0 0.9999999999999999 1.0000000228957608 1 1.1102230246251565e-16 2.2895760842800428e-08 1.1102230246251565e-16 2.2895760842800428e-08
1 0.49999999999999983 0.5000000729522482 0.5 1.6653345369377348e-16 7.29522482423306e-08 3.3306690738754696e-16 1.459044964846612e-07
2 1.2499999999999998 1.2499997237261402 1.25 2.220446049250313e-16 2.762738597894554e-07 1.7763568394002506e-16 2.2101908783156433e-07
3 1.6249999999999996 1.6249966877314503 1.625 4.440892098500626e-16 3.312268549660047e-06 2.7328566760003855e-16 2.0383191074831057e-06
4 4.562500000000001 4.562487587018923 4.5625 8.881784197001252e-16 1.2412981076792562e-05 1.9466924267400004e-16 2.72065338669426e-06
5 8.781249999999998 8.78124502342677 8.78125 1.7763568394002505e-15 4.976573229953374e-06 2.022897468356157e-16 5.667272005640853e-07
6 27.203125 27.20344068404029 27.203125 0 0.00031568404029158614 0 1.1604697632775138e-05
7 66.28906249999999 66.2913502627985 66.2890625 1.4210854715202004e-14 0.002287762798502513 2.143770658274433e-16 3.4511919647415636e-05
8 223.56640624999997 223.5731868949336 223.56640625 2.842170943040401e-14 0.006780644933598978 1.2712871270391953e-16 3.0329444603661145e-05
9 642.0957031249998 642.0916554802354 642.095703125 2.2737367544323206e-13 0.0040476447645687585 3.5411181594368666e-16 6.303802914221937e-06
10 2333.1455078124995 2332.940307841027 2333.1455078125 4.547473508864641e-13 0.20519997147312097 1.9490741120249464e-16 8.794992459150627e-05
11 7587.529785156251 7586.027597831421 7587.52978515625 9.094947017729282e-13 1.5021873248288102 1.1986703545496513e-16 0.0001979810778163391
12 29458.36547851562 29452.600525795173 29458.365478515625 3.637978807091713e-12 5.764952720452129 1.2349560975285403e-16 0.00019569832293161633
13 105779.54016113278 105770.37263529107 105779.54016113281 2.9103830456733704e-11 9.167525841738097 2.7513667021429814e-16 8.666634235480042e-05
14 435848.5213012694 435928.2907392611 435848.52130126953 1.1641532182693481e-10 79.76943799154833 2.6710041708840765e-16 0.00018302101324879722
15 1698837.822906495 1699777.5080739986 1698837.8229064941 9.313225746154785e-10 939.6851675044745 5.482115844478343e-16 0.0005531341219474343
16 7387146.730972293 7392740.954319109 7387146.73097229 2.7939677238464355e-09 5594.22334681917 3.7822014718241504e-16 0.000757291488926857
17 30874978.531990062 30899405.018252276 30874978.53199005 1.1175870895385742e-08 24426.486262224615 3.619717786623316e-16 0.0007911418055535147
18 141018983.692524 141074676.48034605 141018983.69252396 2.9802322387695312e-08 55692.78782209754 2.1133553516933527e-16 0.0003949311387999321
19 626259105.4220833 626062005.530874 626259105.4220829 3.5762786865234375e-07 197099.8912088871 5.710541620170322e-16 0.00031472578921794156
20 2992490242.868998 2989065406.511691 2992490242.8689966 1.430511474609375e-06 3424836.3573055267 4.780337974428607e-16 0.0011444770339575196
21 14021427229.876158 13993620090.982557 14021427229.876156 1.9073486328125e-06 27807138.893598557 1.3603099039364673e-16 0.001983188903505379
22 69853008715.187 69692207090.42268 69853008715.18701 1.52587890625e-05 160801624.764328 2.1844140063765826e-16 0.002301999981417658
23 343397903414.8687 342658055599.73346 343397903414.86896 0.000244140625 739847815.135498 7.109554909106322e-16 0.002154491357629713
24 1778318152156.734 1776111181884.5513 1778318152156.7358 0.001953125 2206970272.1845703 1.098298972898218e-15 0.0012410435497764937
25 9130708758035.186 9132797533920.969 9130708758035.223 0.037109375 2088775885.7460938 4.0642381641340756e-15 0.00022876382777053595
26 49023308182935.56 49119588254420.836 49023308182936.01 0.4453125 96280071484.82812 9.083689300164447e-15 0.001963965204582852
27 261910081800378.22 262897120693226.38 261910081800383.78 5.5625 987038892842.5938 2.1238204966235284e-14 0.003768617405094283
28 1454584361839394.5 1461800074959372.2 1454584361839464.2 69.75 7215713119908 4.795184234745539e-14 0.004960670078140415
29 8060774471329607 8105329094625307 8060774471330478 871 44554623294829 1.0805413339597335e-13 0.005527337782901026
30 4.621333372899885e+16 4.6441386191549576e+16 4.6213333729009704e+16 10856 228052462539872 2.349105577117306e-13 0.00493477626775745
31 2.6492990100428438e+17 2.6582744087527258e+17 2.649299010044192e+17 134816 897539870853376 5.088742323493005e-13 0.0033878390753575393
32 1.565078296099838e+18 1.5665069984081764e+18 1.5650782961015104e+18 1672448 1428702306665984 1.0686034073604747e-12 0.0009128631521022121
33 9.260295980171452e+18 9.240100963922729e+18 9.26029598019217e+18 20717568 2.0195016269441024e+16 2.237246848730862e-12 0.00218081757998214
34 5.627773176118967e+19 5.597909382783318e+19 5.627773176144593e+19 256262144 2.986379336127529e+17 4.5535265189127075e-12 0.0053065026657193775
35 3.4298892920409214e+20 3.401674220475616e+20 3.4298892920725674e+20 3164602368 2.8215071596951634e+18 9.226543770127742e-12 0.008226233908530094
36 2.141215076215216e+21 2.1194772802179115e+21 2.141215076254236e+21 39020134400 2.173779603632449e+19 1.8223360573502223e-11 0.01015208433631609
37 1.3418208989108008e+22 1.3269926260905611e+22 1.341820898958836e+22 480352665600 1.482827286827489e+20 3.579856789924213e-11 0.011050858486241082
